,Symbol
0,AAPL
1,MSFT
2,NVDA
3,AMZN
4,META
5,GOOGL
6,BRK-B
7,GOOG
8,LLY
9,JPM
10,AVGO
11,TSLA
12,UNH
13,XOM
14,V
15,PG
16,JNJ
17,MA
18,COST
19,HD
20,ABBV
21,WMT
22,MRK
23,NFLX
24,KO
25,BAC
26,ADBE
27,PEP
28,CVX
29,CRM
30,TMO
31,ORCL
32,LIN
33,AMD
34,ACN
35,MCD
36,ABT
37,CSCO
38,PM
39,WFC
40,IBM
41,TXN
42,QCOM
43,GE
44,DHR
45,VZ
46,INTU
47,AMGN
48,NOW
49,ISRG
50,NEE
51,SPGI
52,PFE
53,CAT
54,DIS
55,RTX
56,CMCSA
57,GS
58,UNP
59,T
60,AMAT
61,PGR
62,UBER
63,LOW
64,AXP
65,TJX
66,HON
67,BKNG
68,ELV
69,COP
70,SYK
71,MS
72,LMT
73,VRTX
74,BLK
75,REGN
76,MDT
77,BSX
78,PLD
79,CB
80,ETN
81,C
82,MMC
83,ADP
84,AMT
85,PANW
86,ADI
87,SBUX
88,MDLZ
89,CI
90,TMUS
91,FI
92,BMY
93,DE
94,GILD
95,BX
96,NKE
97,SO
98,LRCX
99,MU
100,KLAC
101,SCHW
102,UPS
103,MO
104,ICE
105,BA
106,DUK
107,CL
108,ZTS
109,SHW
110,INTC
111,ANET
112,CME
113,EQIX
114,TT
115,KKR
116,AON
117,HCA
118,WM
119,MCO
120,WELL
121,CMG
122,PH
123,CVS
124,PYPL
125,NOC
126,MSI
127,TDG
128,APH
129,MMM
130,SNPS
131,PNC
132,TGT
133,USB
134,EOG
135,CTAS
136,CDNS
137,BDX
138,ITW
139,ORLY
140,GD
141,MCK
142,CSX
143,FDX
144,AJG
145,ECL
146,APD
147,MPC
148,ROP
149,CARR
150,NEM
151,NXPI
152,SLB
153,FCX
154,CRWD
155,NSC
156,AFL
157,EMR
158,TFC
159,DHI
160,PSA
161,MAR
162,CEG
163,O
164,PSX
165,GEV
166,WMB
167,GM
168,AEP
169,TRV
170,ADSK
171,AZO
172,OKE
173,SPG
174,COF
175,HLT
176,SRE
177,ROST
178,ABNB
179,CCI
180,BK
181,KMB
182,PCAR
183,ALL
184,FTNT
185,DLR
186,D
187,AIG
188,URI
189,FIS
190,JCI
191,IQV
192,LEN
193,MSCI
194,MET
195,TEL
196,VLO
197,KVUE
198,AMP
199,HUM
200,CPRT
201,LHX
202,FICO
203,PCG
204,GIS
205,GWW
206,PAYX
207,RSG
208,F
209,ACGL
210,PRU
211,KMI
212,EW
213,STZ
214,A
215,MCHP
216,CMI
217,PEG
218,IDXX
219,SYY
220,COR
221,CTVA
222,VRSK
223,MPWR
224,KDP
225,EXC
226,CTSH
227,CNC
228,AME
229,IT
230,FAST
231,YUM
232,OTIS
233,RCL
234,EXR
235,GEHC
236,PWR
237,RMD
238,EFX
239,HWM
240,ED
241,DOW
242,EA
243,IR
244,HES
245,VICI
246,XEL
247,MNST
248,OXY
249,HIG
250,KR
251,BKR
252,CBRE
253,NUE
254,EIX
255,DD
256,ODFL
257,TRGP
258,CHTR
259,DFS
260,FANG
261,IRM
262,CSGP
263,AVB
264,MLM
265,GLW
266,VMC
267,XYL
